tissue_no	genotype_ID	voucher_no_or_field_no	throat	flanks	tail spots	crown_pileum	back_color	back_spots	pheno.total	population	distance	maculatus.mtdna	maculatus.aflp	ocai.aflp	notes
B25793	HMS193	MJB1519	4	4	4	3	3	3	21	TV08	688	1	0.9909	0.003	
B25794	HMS194	SEK012	3	4	3	3	2	4	19	TV08	688	1	0.96	0.0296	
B25795	HMS195	SEK013	3	3	4	4	3	4	21	TV08	688	1	0.9899	0.0081	
B25796	HMS196	SEK014	4	4	4	3	3	4	22	TV08	688	1	0.9808	0.0156	
B25797	HMS197	MJB1520	3	4	3	3	2	3	18	TV08	688	1	0.9853	0.0077	
B25798	HMS198	SEK015	3	3	4	3	3	3	19	TV08	688	1	0.977	0.0108	
B25799	HMS199	SEK016	3	3	3	3	2	3	17	TV08	688	1	0.9756	0.0202	
B25800	HMS200	SEK017	3	3	4	3	3	4	20	TV08	688	1	0.9731	0.0239	
B25801	HMS201	MJB1521	3	4	4	3	3	4	21	TV08	688	1	0.9583	0.0347	
B25802	HMS202	SEK018	3	4	4	4	3	4	22	TV08	688	1	0.9936	0.0043	
B25803	HMS203	SEK019	3	3	4	3	3	4	20	TV08	688	1	0.9908	0.0052	
B25805	OML204	SEK020	0	0	1	1	0	0	2	TV01	0	0	0.0142	0.975	
B25806	OML205	MJB1523	0	0	0	0	0	0	0	TV01	0	0	0.0111	0.9791	
B25807	OML206	SEK021	0	0	0	0	0	0	0	TV01	0	0	0.0111	0.9776	
B25808	OML207	MJB1524	1	0	0	1	0	0	2	TV01	0	0	0.0418	0.892	
B25809	OML208	SEK022	0	0	0	1	1	0	2	TV01	0	0	0.012	0.9543	
B25810	OML209	MJB1525	0	0	0	1	0	1	2	TV01	0	0	0.013	0.977	
B25811	OML210	SEK023	0	0	0	0	1	0	1	TV01	0	0	0.0122	0.9826	
B25812	OML211	SEK024	0	0	0	1	1	1	3	TV01	0	0	0.029	0.967	
B25813	OML212	SEK025	0	0	0	1	1	0	2	TV01	0	0	0.0192	0.9444	
B25814	OML213	MJB1526	0	0	0	0	0	0	0	TV01	0	0	0.034	0.959	
B25815	OML214	SEK026	0	0	1	0	0	0	1	TV01	0	0	0.0179	0.953	
B25816	OML215	MJB1527	0	0	1	1	0	0	2	TV01	0	0	0.0313	0.9606	
B25818	OMM216	SEK028	0	0	0	0	0	0	0	TV02	89	0	0.014	0.9755	
B25819	OMM217	MJB1528	1	0	0	1	1	0	3	TV02	89	0	0.0144	0.9783	
B25821	OMM218	SEK029	0	0	1	0	0	0	1	TV02	89	0	0.1028	0.7254	
B25822	OMM219	SEK030	0	0	0	0	1	0	1	TV02	89	0	0.006	0.989	
B25823	OMM220	SEK031	0	0	0	1	1	0	2	TV02	89	0	0.0159	0.9627	
B25824	OMM221	MJB1530	0	0	1	1	1	0	3	TV02	89	0	0.0756	0.7959	
B25826	OMM222	SEK032	0	0	1	1	1	0	3	TV02	89	0	0.0689	0.926	
B25827	OMM223	MJB1532	0	0	0	NA	1	0	1	TV02	89	0	0.0099	0.9693	Head shot
B25829	OMM225	SEK034	0	0	0	1	0	0	1	TV02	89	0	0.3809	0.9838	
B25830	OMM226	SEK035	0	0	1	1	0	0	2	TV02	89	0	0.0157	0.5895	
B25833	OMM227	SEK037	0	0	NA	0	1	0	1	TV02	89	0	0.0112	0.9582	No tail
B25834	OMM228	SEK038	0	0	1	0	0	0	1	TV02	89	0	0.0318	0.9764	
B25835	OMM229	MJB1534	1	0	0	1	1	0	3	TV02	89	0	0.0273	0.9632	
B25836	OMM230	SEK039	0	0	0	1	1	0	2	TV02	89	0	0.0223	0.9364	
B25837	HMN231	SEK040	3	1	1	1	1	1	8	TV03	260	1	0.3663	0.971	
B25838	HMN232	SEK041	3	2	0	1	1	0	7	TV03	260	1	0.2767	0.6065	
B25839	HMN233	SEK042	3	2	1	1	1	0	8	TV03	260	1	0.0831	0.7192	
B25840	HMN234	SEK043	3	1	0	1	1	0	6	TV03	260	1	0.3555	0.8263	
B25841	HMN235	SEK044	3	1	0	1	1	0	6	TV03	260	1	0.1111	0.6393	
B25842	HMN236	SEK045	3	1	1	1	1	0	7	TV03	260	1	0.1227	0.8811	
B25843	HMN237	SEK046	2	1	0	0	1	0	4	TV03	260	1	0.0103	0.8673	
B25844	HMN238	MJB1535	3	1	0	1	1	1	7	TV03	260	1	0.1002	0.9867	
B25845	HMN239	SEK047	3	1	1	1	1	1	8	TV03	260	1	0.0552	0.8895	
B25846	HMN240	SEK048	3	1	0	1	1	0	6	TV03	260	1	0.0372	0.7822	
B25847	HMN241	SEK049	3	1	0	1	1	0	6	TV03	260	1	0.2514	0.9595	
B25850	HMN242	SEK050	3	2	1	1	1	0	8	TV03	260	1	0.0821	0.7406	
B25852	HMO243	MJB1539	2	1	1	3	0	0	7	TV04	348	1	0.0971	0.8514	
B25853	HMO244	MJB1540	3	2	3	3	1	0	12	TV04	348	1	0.0566	0.8992	
B25854	HMO245	SEK051	3	3	1	4	0	0	11	TV04	348	1	0.531	0.9043	
B25855	HMO246	SEK052	3	1	0	2	1	0	7	TV04	348	1	0.1292	0.465	
B25856	HMO247	SEK053	3	2	0	3	1	0	9	TV04	348	1	0.2125	0.8668	
B25857	HMO248	SEK054	3	1	2	3	1	1	11	TV04	348	1	0.0219	0.7823	
B25858	HMO249	MJB1541	3	3	2	2	1	1	12	TV04	348	1	0.1492	0.97	
B25859	HMO250	SEK055	3	1	2	2	1	1	10	TV04	348	1	0.2914	0.8424	
B25860	HMO251	SEK056	3	1	1	2	1	0	8	TV04	348	1	0.1937	0.3982	
B25861	HMO252	MJB1542	3	2	1	2	1	0	9	TV04	348	1	0.1556	0.8043	
B25862	HMO253	SEK057	3	2	0	4	1	0	10	TV04	348	1	0.3241	0.8393	
B25863	HMO254	SEK058	3	2	3	2	0	1	11	TV04	348	1	0.0233	0.6729	
B25864	HMO255	MJB1543	3	1	1	2	0	0	7	TV04	348	1	0.1358	0.9737	
B25865	HMO256	SEK059	3	1	1	3	1	1	10	TV04	348	1	0.55	0.8612	
B25866	HMO257	MJB1644	3	1	1	3	1	0	9	TV04	348	1	0.4926	0.447	
B25867	HMP258	SEK060	3	3	3	4	3	2	18	TV05	450	1	0.984	0.4076	
B25868	HMP259	SEK061	3	3	4	3	2	2	17	TV05	450	1	0.9263	0.013	
B25869	HMP260	MJB1545	3	3	4	3	2	2	17	TV05	450	1	0.9229	0.0667	
B25870	HMP261	SEK062	3	3	3	4	3	3	19	TV05	450	1	0.9056	0.0721	
B25871	HMP262	SEK063	3	2	2	3	2	3	15	TV05	450	1	0.988	0.0466	
B25872	HMP263	SEK064	3	3	4	4	2	2	18	TV05	450	1	0.7917	0.009	
B25873	HMP264	MJB1546	3	2	3	3	2	2	15	TV05	450	1	0.4162	0.2037	
B25874	HMP265	SEK065	3	4	4	4	3	3	21	TV05	450	1	0.8132	0.5812	
B25875	HMP266	MJB1547	3	4	4	4	2	2	19	TV05	450	1	0.827	0.1808	
B25876	HMP267	SEK066	3	3	3	3	2	2	16	TV05	450	1	0.9851	0.1702	
B25877	HMP268	MJB1548	3	2	4	3	1	2	15	TV05	450	1	0.8053	0.0129	
B25878	HMP269	SEK067	3	3	4	4	3	4	21	TV05	450	1	0.7958	0.1907	
B25879	HMP270	SEK068	3	2	3	4	1	2	15	TV05	450	1	0.9564	0.1982	
B25880	HMP271	MJB1549	3	3	4	3	2	2	17	TV05	450	1	0.9706	0.0416	
B25882	HMP272	SEK069	3	3	4	4	2	2	18	TV05	450	1	0.8901	0.0264	
B25883	HMP273	SEK070	3	2	3	3	2	2	15	TV05	450	1	0.8765	0.1079	
B25884	HMP274	MJB1551	3	2	3	3	2	3	16	TV05	450	1	0.5354	0.1175	
B25885	HMP275	SEK071	3	2	4	3	2	2	16	TV05	450	1	0.8315	0.4606	
