Location,Distance,lat,long,ID,Sex,Lab,Wing,Tail,Tarsus,length,depth,width,pc1morph,pc2morph,Pileum,Back.Color,Collar,Tail.Spots,Back.spots,Flank,Total,sample.loc,spotted.ancestry,spotted.mtdna.ancestry,new.distance
El Venerable,543.958,19.352327,-98.608858,MLZ23076,male ,MLZ,95,109.6,31.1,10.6,8.3,6,1.615589,1.991625,4,2,4,4,4,4,22,8,0.99999,1,616
El Venerable,543.958,19.352327,-98.608858,MLZ23077,male,MLZ,90,115.4,29.5,9.9,8.6,5.8,0.6280137,2.161641,4,2,3,4,3,4,20,8,0.901648,1,616
Rancho La Cofradia,191.512,19.431778,-102.01743,MLZ24113,male ,MLZ,94,104,31.5,10.8,9.1,6.5,2.707396,0.7017868,1,1,3,2,0,3,10,3,0.155859,1,259
Rancho La Cofradia,191.512,19.431778,-102.01743,MLZ24115,male ,MLZ,91,96,30.5,10.3,9.6,6.2,1.842708,-0.3814371,0,0,4,0,0,0,4,3,0.085306,1,259
Rancho La Cofradia,191.512,19.431778,-102.01743,MLZ24116,male ,MLZ,93,106.6,31.9,10.3,8.6,5.8,1.477809,1.480424,0,0,3,0,0,0,3,3,0.21217,1,259
Rancho La Cofradia,191.512,19.431778,-102.01743,MLZ24118,male ,MLZ,94,104.9,31,11,9,6.4,2.571019,0.8500142,0,0,2,0,0,0,2,3,0.150609,1,259
Tapalpa,0,19.960772,-103.75855,MLZ26978,male,MLZ,87,94.2,30.3,9.9,8.2,5.3,-0.7371731,-0.1805117,0,0,0,1,0,1,2,1,1.00E-05,0,71
Tapalpa,0,19.960772,-103.75855,MLZ26979,female,MLZ,88,91.2,30.3,9.2,7.8,5.8,-1.139769,-0.4072729,1,0,1,0,0,0,2,1,1.00E-05,0,71
Tapalpa,0,19.960772,-103.75855,MLZ26980,male,MLZ,89,99.4,30.3,9.4,8,5.7,-0.6153416,0.5866089,0,0,0,1,0,0,1,1,1.00E-05,0,71
Tapalpa,0,19.960772,-103.75855,MLZ26984,male,MLZ,87,92.7,30.8,10.7,7.9,5.8,0.0466937,-0.7703189,1,0,1,0,0,0,2,1,1.00E-05,0,71
Puerto Lengua de Vaca,378.196,19.435109,-100.186681,MLZ30405,female,MLZ,88,105,30.8,10.4,7.8,6.2,0.5170243,0.5509219,4,1,2,4,2,4,17,6,0.99999,1,450
Puerto Lengua de Vaca,378.196,19.435109,-100.186681,MLZ30408,male,MLZ,93,100.6,29.3,9.6,8.4,6.5,0.5820087,0.6936005,4,1,3,1,1,4,14,6,0.73472,1,450
Puerto Lengua de Vaca,378.196,19.435109,-100.186681,MLZ30413,male,MLZ,93,104,31.2,9.1,8.6,6.8,1.251152,0.8959661,4,1,3,2,1,3,14,6,0.796422,1,450
Puerto Lengua de Vaca,378.196,19.435109,-100.186681,MLZ30415,female,MLZ,83,103.5,28,8.8,8.2,6,-1.505643,0.150914,4,0,3,1,1,3,12,6,0.751485,1,450
Lerma,458.663,19.289842,-99.435342,MLZ41012,female,MLZ,87,92.9,30.4,10.2,8.6,6.5,0.7838714,-1.205622,4,1,4,4,2,3,18,7,0.664371,1,530
Lerma,458.663,19.289842,-99.435342,MLZ41050,male ,MLZ,93,106.8,29.4,10,9,5.8,0.974863,1.547318,3,1,3,3,1,3,14,7,0.751818,1,530
Lerma,458.663,19.289842,-99.435342,MLZ41051,male,MLZ,90,106,30.9,11.6,8.9,6.1,2.357619,0.4676136,4,2,4,3,3,4,20,7,0.918181,1,530
Lerma,458.663,19.289842,-99.435342,MLZ41271,female,MLZ,89,104.7,29.2,10.1,8.2,6,0.1374213,0.8010517,4,1,2,2,2,4,15,7,0.99999,1,530
El Venerable,543.958,19.352327,-98.608858,MLZ46829,female,MLZ,84,97.8,29.1,9.7,8.2,6.3,-0.4625783,-0.7393396,3,2,3,4,2,3,17,8,0.99999,1,616
El Venerable,543.958,19.352327,-98.608858,MLZ46851,female,MLZ,89,103,31.6,10.3,8.6,6.3,1.425645,0.2316735,4,1,3,4,2,4,18,8,0.99999,1,616
Lagunita,228.527,19.35558,-101.671058,MLZ55360,female,MLZ,82,96.2,29.7,9.7,8,5.6,-1.24619,-0.7465479,0,0,2,0,0,1,3,4,0.283031,1,296
Lagunita,228.527,19.35558,-101.671058,MLZ55361,female,MLZ,80,98,30.3,10.5,8.9,5.9,0.3555773,-1.427607,1,1,2,0,0,1,5,4,0.322303,1,296
Lagunita,228.527,19.35558,-101.671058,MLZ55363,male ,MLZ,87,94.6,29.5,10.8,8.8,6.3,1.003559,-1.06207,4,0,4,1,1,2,12,4,0.169855,1,296
Lagunita,228.527,19.35558,-101.671058,MLZ55366,male ,MLZ,90,103.5,30.8,10.2,7.8,5.8,0.1520954,0.9595876,3,0,4,1,0,2,10,4,0.205838,1,296
Puerto Morillos,310.603,19.66662,-100.806942,MLZ57701,male,MLZ,90,108.6,31.5,11.5,8.2,5.7,1.599797,1.157529,4,0,3,2,1,3,13,5,0.756815,1,382
Puerto Morillos,310.603,19.66662,-100.806942,MLZ57703,female,MLZ,89,93.2,29.3,10.4,7.8,6,-0.3003379,-0.4177697,4,1,3,1,1,4,14,5,0.814848,1,382
Puerto Morillos,310.603,19.66662,-100.806942,MLZ57707,male,MLZ,90,97.9,32,9.8,8,6,0.3679142,0.2477463,4,1,4,1,1,4,15,5,0.656581,1,382
Puerto Morillos,310.603,19.66662,-100.806942,MLZ57719,female,MLZ,88,98.9,28.7,9.6,8.3,6.1,-0.3959559,0.0790206,4,1,3,1,1,4,14,5,0.686829,1,382
Manzamitla,77.73132,19.85735411,-103.01944,MVZ122216,male,MVZ,93,103.6,30.6,10,7.9,5.5,0.4983927,1.90089,0,0,0,0,0,1,1,2,1.00E-05,0,150
Manzamitla,77.73132,19.85735411,-103.01944,MVZ122217,female,MVZ,89,98.6,28.5,10.5,8,5.7,0.2103003,0.3164122,0,0,0,0,0,2,2,2,0.000125,0,150
Manzamitla,77.73132,19.85735411,-103.01944,MVZ122219,female,MVZ,88,92.3,29.4,9.1,7.6,5.9,-1.438048,0.2610975,1,0,0,0,0,0,1,2,0.122246,0,150
Manzamitla,77.73132,19.85735411,-103.01944,MVZ122223,male,MVZ,90,105.8,27.1,10.5,8.2,6.1,1.763529,-1.238648,0,0,0,0,0,0,0,2,1.00E-05,1,150
