#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <prior id="lambdaPrior.rep2" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.rep2" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.rep2" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snap.rep2" spec="snap.Data">
#                    <taxonset id="8" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ23077" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ46829" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="3" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ24113" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ24115" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="1" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ26980" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ26978" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="6" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ30408" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ30415" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="7" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ41012" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ41271" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="4" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ55361" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ55363" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="5" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MLZ57719" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MLZ57701" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="2" spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="MVZ122216" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="MVZ122217" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.rep2" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.rep2" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@snap.rep2" id="treeLikelihood.rep2" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.rep2">
#            <siteModel id="MutationSiteModel.rep2" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.core.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	theta9	theta10	theta11	theta12	theta13	theta14	TreeHeightLogger
0	-25277.701573987906	-24480.824712236477	-796.8768617514278	1.0	1.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.19300698631233845	0.2	0.2	0.2	0.2	6.0E-10
1000	-22946.663692881215	-22143.17319741279	-803.4904954684247	89.94336724467306	0.5027950647175002	0.03773065728260385	0.0072398535699718485	0.03240053828167541	0.04400738902910505	0.013340161266405607	0.05931784224263252	0.07284958671550522	0.09830073485296795	0.10556781813199752	0.0649057304845506	0.15811524080693706	0.05146752427972945	0.09303411700978856	0.10687416130352478	0.057525724550539836	7.255647525754625E-4
2000	-22835.485225491764	-22063.933588159874	-771.5516373318897	64.46498035851735	0.5039083885994926	0.03668435747721577	0.008044991673330707	0.08111065260928751	0.036716543910758126	0.0277420307639623	0.04922754274003351	0.07165587961778422	0.1113183691584024	0.12338790406683406	0.04522668827176429	0.164166859439097	0.15324383040571268	0.07196845422160508	0.02079224365212283	0.07075382152418118	0.0011608914306608935
3000	-22796.601779723664	-22052.578523665517	-744.0232560581449	53.65992096746142	0.5047027910397576	0.03044622984908216	0.017105661524342477	0.1180748644593779	0.05130172722740185	0.04606836426882829	0.07538480826299909	0.09394631996277432	0.08111229806810913	0.1259564868168971	0.09821416848207626	0.08431824228972387	0.06641134591054651	0.08544698045492378	0.04343954298599076	0.08733217847535023	0.0014842827804129053
4000	-22771.76974777456	-22031.782964779304	-739.9867829952573	45.38961690459026	0.5055692166081827	0.07716850497988094	0.01665267456169497	0.04602528300032651	0.08287662461024226	0.034847578124449725	0.12157267532918742	0.07328331643828463	0.10162592227779595	0.06786846704271664	0.1262409089811201	0.11677049597115377	0.0961383288714187	0.06494202035559339	0.05159081980667981	0.11658950927200655	0.0017186976776333233
5000	-22769.534404438986	-22028.241627048737	-741.2927773902484	43.41430739703876	0.5058255629687094	0.13404608838106208	0.015556583314576156	0.043656903100726	0.058808586260217906	0.043572528157057276	0.06543799462124754	0.15052514910260442	0.06577720146989331	0.14288067643006302	0.09710772504067164	0.13907410899744108	0.1427219027702394	0.07934586657448704	0.05577983794497572	0.1251443500722636	0.0023004711533373724
6000	-22761.670053603753	-22025.645693962444	-736.024359641309	39.63506866351425	0.5063881323973012	0.09709843066019402	0.018972509998605627	0.054011144292416366	0.06191526875660982	0.03595827670074075	0.07053269904707349	0.08644835240320076	0.06925280058694233	0.11834843550437427	0.10700116426156096	0.09177000428059319	0.10012643371508972	0.08529255473865198	0.07173103235565308	0.11407456642748645	0.0021969970897485905
7000	-22756.49816141186	-22028.605998978506	-727.8921624333508	39.63506866351425	0.5063881323973012	0.11360878475419772	0.01904343752119536	0.11353429367601849	0.07856220646787307	0.04136691750449037	0.10914784366510276	0.11039668047825013	0.10773874581432975	0.08241734183364602	0.12267309020390524	0.08408138559780595	0.1382848182873761	0.09001903494078545	0.07130309028971753	0.12428704386505124	0.0022144347807028673
8000	-22755.46372457881	-22029.2865382202	-726.1771863586104	30.933901518124923	0.5082145235257173	0.09323597494046847	0.02663391683192002	0.06965781345481743	0.06469474278465047	0.07350808217554039	0.10795107870157979	0.15150783373023213	0.09358299431608112	0.09547003493594967	0.15068937765834528	0.11193862270678927	0.10778958231366725	0.07871219868328355	0.10751572718913478	0.15662722342219648	0.0029433549696094006
9000	-22764.274775000085	-22035.417665566107	-728.8571094339792	30.933901518124923	0.5082145235257173	0.08904287071500505	0.03926712928168794	0.032128102036254665	0.08704238308636877	0.07229532401415752	0.18496084179390562	0.1384716612595267	0.07141757667967054	0.08987095590627404	0.09576060820390865	0.14377327445344798	0.10753496413934012	0.10072041799117123	0.10704869707794626	0.15394388028679015	0.0030782138155994038
10000	-22752.580150444457	-22025.91934138863	-726.6608090558261	30.37536292216353	0.5083680991809654	0.10044471197542465	0.03335860182140669	0.08523700548824355	0.07966636876623658	0.05408422613903636	0.1458263192474231	0.09754253763161823	0.04769583600159251	0.12027291814819299	0.152917938384703	0.13796404939560278	0.11725401929611873	0.1301563723444655	0.10507209205593653	0.17322822895064247	0.00370360394215095
11000	-22747.505806120138	-22021.64412015011	-725.8616859700285	29.713335100603295	0.508557735675816	0.09068955233430014	0.032143007077520255	0.09674300192722377	0.07704098657779027	0.06237144645715344	0.11908060946949338	0.12073203601658349	0.12625349481922543	0.14094787701984535	0.10005515077991566	0.16457335923349564	0.14886072717842083	0.15408290510971873	0.073472153845632	0.1677523756237508	0.00395001362745144
