pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
1	uce-5172_MVZ122216	1	10000	0.0286875448242887	3354	2640	92026	324
2	uce-5172_MVZ122216	1	10000	0.0302717022582625	3354	2811	92859	178
3	uce-5172_MVZ122216	1	10000	0.0314450045524194	3354	2832	90062	764
4	uce-5172_MVZ122216	1	10000	0.0287049766290899	3340	2610	90925	614
5	uce-5172_MVZ122216	1	10000	0.0291210230000436	3354	2669	91652	440
6	uce-5172_MVZ122216	1	10000	0.0313235960770872	3335	2833	90443	698
7	uce-5172_MVZ122216	1	10000	0.0322158662587025	3305	2906	90204	784
8	uce-5172_MVZ122216	1	10000	0.0295154137254264	3354	2722	92223	282
1	uce-2736_MVZ122216	1	10000	0.0086122656382327	3016	661	76751	1754
2	uce-2736_MVZ122216	1	10000	0.0081291827838153	3072	662	81435	802
3	uce-2736_MVZ122216	1	10000	0.0086352543645579	3013	690	79905	1262
4	uce-2736_MVZ122216	1	10000	0.0088155958803334	3019	719	81560	936
5	uce-2736_MVZ122216	1	10000	0.0077963899324877	3011	552	70802	2676
6	uce-2736_MVZ122216	1	10000	0.0084780783022514	3047	636	75017	2078
7	uce-2736_MVZ122216	1	10000	0.0083699492231522	3018	661	78973	1366
8	uce-2736_MVZ122216	1	10000	0.0093570116350275	3024	764	81650	900
1	uce-1163_MVZ122216	1	10000	0.0116778348838722	2256	718	61484	368
2	uce-1163_MVZ122216	1	10000	0.0106018933094537	2265	663	62536	184
3	uce-1163_MVZ122216	1	10000	0.0097152859184558	2264	605	62273	230
4	uce-1163_MVZ122216	1	10000	0.0098957412970489	2239	616	62249	286
5	uce-1163_MVZ122216	1	10000	0.0099830658817837	2241	619	62005	310
6	uce-1163_MVZ122216	1	10000	0.0105091415135083	2239	657	62517	238
7	uce-1163_MVZ122216	1	10000	0.0113871635610766	2241	704	61824	344
8	uce-1163_MVZ122216	1	10000	0.0094858113413129	2239	592	62409	262
1	uce-7787_MVZ122216	1	10000	0.032446016381236	1931	1743	53720	56
2	uce-7787_MVZ122216	1	10000	0.0350838236926834	1931	1896	54042	4
3	uce-7787_MVZ122216	1	10000	0.0339818612877733	1931	1806	53146	148
4	uce-7787_MVZ122216	1	10000	0.0338188991312924	1931	1783	52722	220
5	uce-7787_MVZ122216	1	10000	0.0348606501140388	1931	1880	53929	22
6	uce-7787_MVZ122216	1	10000	0.0348898314627829	1931	1859	53282	132
7	uce-7787_MVZ122216	1	10000	0.036214778177458	1930	1933	53376	128
8	uce-7787_MVZ122216	1	10000	0.0366053474342742	1930	1966	53708	64
1	uce-5216_MVZ122216	1	10000	0.0092784871647594	1709	420	45266	460
2	uce-5216_MVZ122216	1	10000	0.0123871731456232	1713	586	47307	106
3	uce-5216_MVZ122216	1	10000	0.0078743815474669	1675	339	43051	978
4	uce-5216_MVZ122216	1	10000	0.0094344258267407	1645	384	40702	1452
5	uce-5216_MVZ122216	1	10000	0.0079160798407071	1662	326	41182	1332
6	uce-5216_MVZ122216	1	10000	0.0081318735150758	1684	332	40827	1346
7	uce-5216_MVZ122216	1	10000	0.0060624983737933	1677	233	38433	1790
8	uce-5216_MVZ122216	1	10000	0.0078557358596754	1700	335	42644	976
1	uce-6949_MVZ122216	1	10000	0.008112232604214	1495	303	37351	1082
2	uce-6949_MVZ122216	1	10000	0.0078670889257527	1529	313	39786	532
3	uce-6949_MVZ122216	1	10000	0.0058180125669071	1455	200	34376	1664
4	uce-6949_MVZ122216	1	10000	0.0070978820835718	1503	124	17470	4708
5	uce-6949_MVZ122216	1	10000	0.0067683449712115	1514	221	32652	1720
6	uce-6949_MVZ122216	1	10000	0.0053052467329822	1491	136	25635	3194
7	uce-6949_MVZ122216	1	10000	0.0054693644098091	1493	153	27974	2700
8	uce-6949_MVZ122216	1	10000	0.0046400951814396	1507	117	25215	3154
1	uce-7205_MVZ122216	1	10000	0.0200290925366454	1343	716	35748	328
2	uce-7205_MVZ122216	1	10000	0.0168395985711855	1343	594	35274	364
3	uce-7205_MVZ122216	1	10000	0.0126070185341988	1343	402	31887	938
4	uce-7205_MVZ122216	1	10000	0.0146945088940448	1331	494	33618	676
5	uce-7205_MVZ122216	1	10000	0.0156208238054227	1343	526	33673	702
6	uce-7205_MVZ122216	1	10000	0.0139512352656224	1342	432	30965	1102
7	uce-7205_MVZ122216	1	10000	0.0138219829350461	1314	439	31761	1070
8	uce-7205_MVZ122216	1	10000	0.0163182196220138	1339	569	34869	470
1	uce-5646_MVZ122216	1	10000	0.0061957868649318	1151	185	29859	418
2	uce-5646_MVZ122216	1	10000	0.006099518459069	1151	171	28035	658
3	uce-5646_MVZ122216	1	10000	0.006769965969155	1150	187	27622	780
4	uce-5646_MVZ122216	1	10000	0.0038236201048411	1123	62	16215	2842
